NODE	merlin	protreg	rtype	ubiSumo	watanabe
JRK			downstream		
PTPDC1			upstream		
SPIB			downstream		
COMTD1					watanabe
TBK1			upstream		
CAPNS1					watanabe
AKT1			upstream		
PKNOX1			downstream		
PRKACA					watanabe
ZNF18			downstream		
PRKAB2			upstream		
SAP30BP			downstream		
FRS2			upstream		
EWSR1			downstream		
DDIT3			downstream		
CLOCK			downstream		
ATF4			downstream		
SF1					watanabe
SET			upstream		
GATA6			downstream		
GATA3			downstream		
ZNF23			downstream		
GATA2			downstream		
ZNF25			downstream		
DEDD2			downstream		
PRPSAP1					watanabe
HEXIM1			downstream		watanabe
CREBBP			downstream		
JUP			upstream		
EIF2AK1			upstream		
EIF2AK3			upstream		
PBX3			downstream		
EIF2AK2			downstream		
PBX2			downstream		
ZNF32			downstream		
PBX4			downstream		
ZNF35			downstream		
NR2F6			downstream		
PPFIBP1			upstream		
C19ORF43					watanabe
STRN			upstream		
DZIP3			upstream		
MTMR12			upstream		
MTMR14			upstream		
TFCP2L1			downstream		
ZNF48			downstream		
MED12			downstream		
CHAF1A			downstream		
PPP2R4			upstream		
ENOPH1			upstream		
JAK3			upstream		
JAK1					watanabe
DUSP4			upstream		
RING1			downstream		
DUSP1			upstream		
TEX14			upstream		
BAZ1A			downstream		
BAZ1B			downstream		
MED27			downstream		
DUSP9			upstream		
DUSP6			upstream		
DDB2			downstream		
DDB1			downstream		
MED20			downstream		
PPARG			downstream		
ZNF473			downstream		
PKN3			upstream		
NOC4L					watanabe
EGFR			upstream		
CENPB			downstream		
PLAGL1			downstream		
PLAGL2			downstream		
ZNF467			downstream		
SPDEF			downstream		
MBD3			downstream		
MBD1			downstream		
MBD2			downstream		
DAB2IP			upstream		
APEX2			upstream		
ARCN1					watanabe
TARBP1					watanabe
SKI			downstream		
TAOK3			upstream		
MYBBP1A			downstream		
APEX1			downstream		
TAOK2			upstream		
NCAPD3					watanabe
FRK			upstream		
CDKN3			upstream		
GZF1			downstream		
MTCH1					watanabe
NAB1			downstream		
CASC5			upstream		
PLOD3					watanabe
CASC3					watanabe
SLK			upstream		
ZNF449			downstream		
NEK1			upstream		
NUDT18			upstream		
NEK2			upstream		
MAP3K9			upstream		
NEK3			upstream		
NUDT16			upstream		
ZNF446			downstream		
MAP3K6			upstream		
ZNF445			downstream		
MAP3K7			upstream		
ZNF444			downstream		
CDKL2			upstream		
PIAS4			downstream		
CDKL3			upstream		
PIAS3			downstream		
CDKL5			upstream		
CTNNBIP1			downstream		
CDC25C			upstream		
DMTF1			downstream		
ZNF436			downstream		
PTPRCAP			upstream		
SRSF9			upstream		
SHC1			upstream		
CREM			downstream		
CREBL2			downstream		
UAP1					watanabe
NRF1			downstream		
PKMYT1			upstream		
HSP90B1			upstream		
MED31			downstream		
ZNF426			downstream		
TXNDC5					watanabe
NEK9			upstream		
SDF2L1					watanabe
FUS					watanabe
NEK6			upstream		
G6PC3			upstream		
SP2			downstream		
SP1			downstream		
NACA					watanabe
SP4			downstream		
KIAA0664					watanabe
ZNF416			downstream		
ZNF410			downstream		
CIITA			downstream		
ELFN1			upstream		
HHEX			downstream		
PPP6R1			upstream		
ZNF407			downstream		
YAF2			downstream		
ITGA3					watanabe
RABGGTB			upstream		
IMPAD1			upstream		
ETF1			upstream		
PRPS1					watanabe
PRKAA1			upstream		
PRKAA2			upstream		
SRC			upstream		
SRF			downstream		
MLLT6			downstream		
U2AF2					watanabe
PHKG2			upstream		
E2F1			downstream		
E2F4			downstream		
IGF2BP2					watanabe
E2F5			downstream		
E2F6			downstream		
E2F7					watanabe
EIF4B					watanabe
TBX1			downstream		
NTRK2			upstream		
CIZ1			downstream		
SSB			downstream		
ACPL2			upstream		
STYK1			upstream		
CDC5L			downstream		
HNRNPAB			upstream		
TBX3			downstream		
TBX2			downstream		
MYO1D			upstream		
EIF3I					watanabe
TRIM32			downstream		
EIF3D					watanabe
TRIM33			downstream		
EIF3A					watanabe
EIF3B					watanabe
PPAN			downstream		
NUDT5			upstream		
IKZF2			downstream		
IKZF3			downstream		
LGALS3					watanabe
LGALS1			upstream		
TRIM28					watanabe
SNRPD1			downstream		
TRIM29			downstream		
TRIM24			downstream		
EPC1			downstream		
TRIM25			downstream		
SNRPD3					watanabe
FBXO7			downstream		
TBC1D22A			downstream		
TRIM21	merlin		downstream		
ACTN1					watanabe
CIRBP					watanabe
CSNK1D			upstream		
PPA1					watanabe
TRIM13			downstream		
TRIB3			downstream		
KCTD17					watanabe
DHX8					watanabe
ZBTB1			downstream		
ZBTB5			downstream		
KALRN			upstream		
ZBTB3			downstream		
SEC14L2			downstream		
HLTF			downstream		
CEP192			upstream		
KCNN4			upstream		
STAT5A			downstream		
EGR1			downstream		
STAT5B			downstream		
EGR2			downstream		
XBP1			downstream		
SMARCA5			downstream		
PTK6			upstream		
SMARCA2			downstream		
PTK2			upstream		
SMARCA4			downstream		
AIMP2					watanabe
ZBTB6			downstream		
PTK7			upstream		
CDC16			upstream		
NANP			upstream		
SYNCRIP					watanabe
PPP3CC			upstream		
SDF4					watanabe
MRPS28					watanabe
SREBF1			downstream		
MST4			upstream		
ZHX2			downstream		
ZHX3			downstream		
MRPS23					watanabe
GAB1			upstream		
PRPF40A					watanabe
ZHX1			downstream		
SREBF2			downstream		
GAK			upstream		
TOX4			upstream		
PTPLAD1			upstream		watanabe
TAX1BP3			downstream		
DDR2			upstream		
MRPS31					watanabe
PRICKLE3			upstream		
RELB			downstream		
GNAI2					watanabe
NFIL3			downstream		
TCEB2			downstream		
TCEB1			downstream		
MSX1			downstream		
MAP3K1			upstream		
PEX19					watanabe
PCDHB12					watanabe
GRIN1			upstream		
SH3RF2			upstream		
TFAP4			downstream		
HNRNPA2B1					watanabe
TCEA2			downstream		
TCEA1			downstream		
HDGF			downstream		
NEK11			upstream		
PRDM4			downstream		
PRDM6			downstream		
BUB1B			upstream		
PRDM2			downstream		
TTF2			downstream		
ETS1			downstream		
ETS2			downstream		
ACTG1					watanabe
PTRF			downstream		watanabe
IL4R			upstream		
TBC1D2B			downstream		
POU3F1			downstream		
POU3F3			downstream		
ZNF91			downstream		
DNAJB11					watanabe
EEF1A2					watanabe
RAF1			upstream		
PPIB					watanabe
DDX5			downstream		
TSG101			downstream		
TCF7			downstream		
DAPP1			upstream		
PLD6			upstream		
NUP160					watanabe
PLD3					watanabe
TIMM50			upstream		
GRK5			upstream		
IRAK1			upstream		
TFAP2A			downstream		
TFAP2E			downstream		
DENND4A			downstream		
ALPP			upstream		
CNTN1			upstream		
TCF4			downstream		
TCF3			downstream		
MXD1			downstream		
MXD3			downstream		
DYRK3			upstream		
PHTF1			downstream		
CABIN1			upstream		
LASP1					watanabe
MYBL2			downstream		
WHSC1			downstream		
FAM73B					watanabe
TGIF1			downstream		
TGIF2			downstream		
PDPK1			upstream		
ATP6AP2			upstream		
MKL1			downstream		
CAD					watanabe
SHROOM3					watanabe
IRAK3			upstream		
ETV1			downstream		
IRAK4			upstream		
ETV3			downstream		
ETV5			downstream		
EEF1G					watanabe
ELF1			downstream		
ELF2			downstream		
ELF4			downstream		
CRY1			downstream		
ZMYND11			downstream		
FBP1			upstream		
ANKS3			downstream		
CBL			upstream		
RNF4			downstream		
RNF2			downstream		
MTA1			downstream		
CAND1					watanabe
MKNK1			upstream		
TRA2B					watanabe
MKNK2			upstream		
MTA2			downstream		
ARFGEF1			upstream		
ARFGEF2					watanabe
EYA1			upstream		
EYA2			downstream		
EYA3			downstream		
EYA4			downstream		
SSRP1					watanabe
USF2			downstream		
EPOR			upstream		
TBX18			downstream		
USF1			downstream		
POLE4					watanabe
C20ORF114					watanabe
ERCC3			downstream		
TEF			downstream		
ERCC2			downstream		
ERCC8			downstream		
ERCC6			downstream		
SNTB2			upstream		
ANKLE2			upstream		
PHB2					watanabe
ELK4			downstream		
LUC7L					watanabe
MBNL1			upstream		
WDR77			upstream		
HCFC1			downstream		
NUP93					watanabe
WDR81			upstream		
ARMC6					watanabe
MAP1B					watanabe
PRKD1			upstream		
ZNF398			downstream		
ZNF395			downstream		
NUP205					watanabe
ZNF394			downstream		
PRKDC			upstream		
CTBP1			downstream		watanabe
ARPP19			upstream		
PRKCZ			upstream		
NCKAP1L					watanabe
PLK4			upstream		
BTF3			downstream		
PLK3			upstream		
ZNF384			downstream		
ICMT					watanabe
DMPK			upstream		
PLK2			upstream		
PLK1			upstream		
NFATC3			downstream		
NFATC2			downstream		
NR1D1			downstream		
ELL2			downstream		
ELL3			downstream		
FOSL2			downstream		
NFATC4			downstream		
POU6F1			downstream		
FOSL1			downstream		
HNRNPM					watanabe
HNRNPK					watanabe
SNAI1			downstream		
GTF2IRD1			downstream		
PHF3			downstream		
PHF2			downstream		
BTG2			downstream		
GMEB1			downstream		
RARG			downstream		
BTG1			downstream		
GMEB2			downstream		
PHF20			downstream		
PHF1			downstream		
ASH2L			downstream		
SMG5			upstream		
SMG6			upstream		
PHF8			downstream		
ZNF280B			downstream		
JARID2			downstream		
TEAD1			downstream		
TEAD4			downstream		
TPI1					watanabe
ASH1L			downstream		
TERF1			downstream		
NCOR2			downstream		
KAT2A			downstream		
SIKE1					watanabe
TUBB2A					watanabe
AEBP2			downstream		
MTF2			downstream		
PLIN3					watanabe
ZNF358			downstream		
NFIX			downstream		
PPP1R2			upstream		
NDNL2			downstream		
PPP1R7			upstream		
NSD1			downstream		
UBN1			downstream		
TAF9B			downstream		
FARP1			upstream		watanabe
ZNF341			downstream		
PCGF6			downstream		
PCGF2			downstream		
RRP1B			upstream		
HIPK3			upstream		
PHF5A			downstream		watanabe
NFIA			downstream		watanabe
NFIC			downstream		
FOSB			downstream		
ZNF335			downstream		
GTF2B			downstream		
UBP1			downstream		
CDC14B			upstream		
IPO5					watanabe
PPP1CB			upstream		
PPP1CC			upstream		
LOC100289117				ubiSumo	
IPO9			upstream		
PAPOLG			downstream		
CFL1			upstream		
PAPOLA			downstream		
ZNF326			downstream		
HMGN2					watanabe
GTF2I			downstream		
TLE3			downstream		
MAP2K1			upstream		
TLE2			downstream		
TLE1			downstream		
TPM4					watanabe
GTF3A			downstream		
VRK1			upstream		
VRK2			upstream		
THOC2					watanabe
TLE6			downstream		
HIC2			downstream		
PYGO2			downstream		
ILF3			downstream		watanabe
OBSCN			upstream		
ZNF319			downstream		
PGP			upstream		
SNRPG					watanabe
ADNP			downstream		
SNRPC					watanabe
CSNK1G2			upstream		
SNRPA					watanabe
SNRPB			downstream		watanabe
BRSK2			upstream		
CBFB			downstream		
PHB					watanabe
SCRT2			downstream		
UBR5					watanabe
MAP2K6			upstream		
SYNJ2			upstream		
TRAPPC9					watanabe
DAB2			downstream		
BCL6			downstream		
LHX1			downstream		
BCL2			upstream		
LAT			upstream		
CNIH4					watanabe
DIDO1			downstream		
MCM7			downstream		
MCM8			downstream		
CYR61					watanabe
SNRNP70					watanabe
PHACTR3			upstream		
UBTF			downstream		
TNPO1					watanabe
LBR			upstream		
ADSL					watanabe
PROP1			downstream		
RFC1			downstream		
EDF1			downstream		
PLRG1			downstream		
TFDP1			downstream		
ESPL1			downstream		
TFDP2			downstream		
CTDSP1			upstream		
LCK			upstream		
PPAP2B			upstream		
POLR1B			downstream		
POLR1C			downstream		
MCM3			downstream		
POLR1D			downstream		
