#pid	gene_ids	eids	pathfinders	sif_edges
'p0'	'GNAI2'|'ADRA2A'|'SSTR2'	'edge47'|'edge323'	'watanabe_path'	GNAI2 d ADRA2A|ADRA2A u SSTR2
'p1'	'SF3A2'|'ELAVL1'|'SSTR2'	'edge12'|'edge283'	'watanabe_path'	SF3A2 u ELAVL1|ELAVL1 u SSTR2
'p2'	'HSPA1B'|'ELAVL1'|'SSTR2'	'edge537'|'edge283'	'watanabe_path'	HSPA1B u ELAVL1|ELAVL1 u SSTR2
'p3'	'GNAI2'|'PMCH'|'SSTR2'	'edge161'|'edge257'	'watanabe_path'	GNAI2 d PMCH|PMCH u SSTR2
'p4'	'GNAI2'|'RXFP3'|'SSTR2'	'edge292'|'edge454'	'watanabe_path'	GNAI2 d RXFP3|RXFP3 u SSTR2
'p5'	'GNAI2'|'LPAR2'|'SSTR2'	'edge86'|'edge32'	'watanabe_path'	GNAI2 d LPAR2|LPAR2 u SSTR2
'p6'	'GNAI2'|'DRD2'|'SSTR2'	'edge11'|'edge149'	'watanabe_path'	GNAI2 d DRD2|DRD2 u SSTR2
'p7'	'GNB2L1'|'GNG2'|'SSTR2'	'edge39'|'edge538'	'watanabe_path'	GNB2L1 u GNG2|GNG2 d SSTR2
'p8'	'TUBB'|'AGO3'|'ZNFX1'	'edge135'|'edge458'	'watanabe_path'	TUBB u AGO3|AGO3 u ZNFX1
'p9'	'LPCAT1'|'ELAVL1'|'SSTR2'	'edge483'|'edge283'	'watanabe_path'	LPCAT1 u ELAVL1|ELAVL1 u SSTR2
'p10'	'GNAI2'|'HTR5A'|'SSTR2'	'edge492'|'edge71'	'watanabe_path'	GNAI2 d HTR5A|HTR5A u SSTR2
'p11'	'GNAI2'|'HTR1E'|'SSTR2'	'edge478'|'edge176'	'watanabe_path'	GNAI2 d HTR1E|HTR1E u SSTR2
'p12'	'SNRNP200'|'MEGF10'|'ZNFX1'	'edge124'|'edge404'	'watanabe_path'	SNRNP200 u MEGF10|MEGF10 u ZNFX1
'p13'	'GNAI2'|'CXCR5'|'SSTR2'	'edge484'|'edge34'	'watanabe_path'	GNAI2 d CXCR5|CXCR5 u SSTR2
'p14'	'ILF3'|'EP300'|'NUPR1'	'edge204'|'edge27'	'watanabe_path'	ILF3 u EP300|EP300 u NUPR1
'p15'	'RPS7'|'TP53'|'NUPR1'	'edge40'|'edge510'	'watanabe_path'	RPS7 u TP53|TP53 d NUPR1
'p16'	'GNAI2'|'SSTR4'|'SSTR2'	'edge615'|'edge516'	'watanabe_path'	GNAI2 d SSTR4|SSTR4 u SSTR2
'p17'	'PHB2'|'AGO3'|'ZNFX1'	'edge444'|'edge458'	'watanabe_path'	PHB2 u AGO3|AGO3 u ZNFX1
'p18'	'RPL11'|'DDX17'|'NUPR1'	'edge206'|'edge234'	'watanabe_path'	RPL11 u DDX17|DDX17 u NUPR1
'p19'	'SF3B2'|'AGO1'|'ZNFX1'	'edge491'|'edge573'	'watanabe_path'	SF3B2 u AGO1|AGO1 u ZNFX1
'p20'	'KHSRP'|'ELAVL1'|'SSTR2'	'edge241'|'edge283'	'watanabe_path'	KHSRP u ELAVL1|ELAVL1 u SSTR2
'p21'	'GNAI2'|'CCR6'|'SSTR2'	'edge369'|'edge57'	'watanabe_path'	GNAI2 d CCR6|CCR6 u SSTR2
'p22'	'RPL27A'|'PAPD7'|'ZNFX1'	'edge526'|'edge329'	'watanabe_path'	RPL27A u PAPD7|PAPD7 u ZNFX1
'p23'	'HNRNPK'|'FYN'|'SSTR2'	'edge162'|'edge457'	'watanabe_path'	HNRNPK u FYN|FYN u SSTR2
'p24'	'MRPS23'|'AGO1'|'ZNFX1'	'edge500'|'edge573'	'watanabe_path'	MRPS23 u AGO1|AGO1 u ZNFX1
'p25'	'BRD8'|'CREBBP'|'NUPR1'	'edge146'|'edge389'	'watanabe_path'	BRD8 u CREBBP|CREBBP u NUPR1
'p26'	'GNAI2'|'CCR1'|'SSTR2'	'edge470'|'edge153'	'watanabe_path'	GNAI2 d CCR1|CCR1 u SSTR2
'p27'	'RPS14'|'PAPD7'|'ZNFX1'	'edge400'|'edge329'	'watanabe_path'	RPS14 u PAPD7|PAPD7 u ZNFX1
'p28'	'GNAI2'|'NPB'|'SSTR2'	'edge425'|'edge565'	'watanabe_path'	GNAI2 d NPB|NPB u SSTR2
'p29'	'RAN'|'ELAVL1'|'SSTR2'	'edge69'|'edge283'	'watanabe_path'	RAN u ELAVL1|ELAVL1 u SSTR2
'p30'	'GNAI2'|'CCL25'|'SSTR2'	'edge386'|'edge529'	'watanabe_path'	GNAI2 d CCL25|CCL25 u SSTR2
'p31'	'GNAI2'|'P2RY12'|'SSTR2'	'edge405'|'edge250'	'watanabe_path'	GNAI2 d P2RY12|P2RY12 u SSTR2
'p32'	'DHX15'|'DDX17'|'NUPR1'	'edge147'|'edge234'	'watanabe_path'	DHX15 u DDX17|DDX17 u NUPR1
'p33'	'DNAJB11'|'AGO4'|'ZNFX1'	'edge564'|'edge195'	'watanabe_path'	DNAJB11 u AGO4|AGO4 u ZNFX1
'p34'	'AGK'|'AGO4'|'ZNFX1'	'edge465'|'edge195'	'watanabe_path'	AGK u AGO4|AGO4 u ZNFX1
'p35'	'GNAI2'|'PNOC'|'SSTR2'	'edge605'|'edge64'	'watanabe_path'	GNAI2 d PNOC|PNOC u SSTR2
'p36'	'SERPINH1'|'TP53'|'NUPR1'	'edge30'|'edge510'	'watanabe_path'	SERPINH1 u TP53|TP53 d NUPR1
'p37'	'GNAI2'|'HRH3'|'SSTR2'	'edge156'|'edge576'	'watanabe_path'	GNAI2 d HRH3|HRH3 u SSTR2
'p38'	'GNAI2'|'NMUR1'|'SSTR2'	'edge505'|'edge577'	'watanabe_path'	GNAI2 d NMUR1|NMUR1 u SSTR2
'p39'	'GNAI2'|'CXCL9'|'SSTR2'	'edge512'|'edge296'	'watanabe_path'	GNAI2 d CXCL9|CXCL9 u SSTR2
'p40'	'CTBP1'|'EP300'|'NUPR1'	'edge163'|'edge27'	'watanabe_path'	CTBP1 u EP300|EP300 u NUPR1
'p41'	'SSTR2'|'ELAVL1'|'PAXIP1'|'NUPR1'	'edge283'|'edge105'|'edge226'	'merlin_path'	SSTR2 u ELAVL1|ELAVL1 u PAXIP1|PAXIP1 u NUPR1
